 Location,Day,Slot,MouHours
 ADL/LINE,SUNDAY,DAY,0
 ADL/LINE,SUNDAY,NIGHT,25
 ADL/LINE,MONDAY,DAY,0
 ADL/LINE,MONDAY,NIGHT,25
 ADL/LINE,TUESDAY,DAY,0
 ADL/LINE,TUESDAY,NIGHT,25
 ADL/LINE,WEDNESDAY,DAY,0
 ADL/LINE,WEDNESDAY,NIGHT,25
 ADL/LINE,THURSDAY,DAY,0
 ADL/LINE,THURSDAY,NIGHT,25
 ADL/LINE,FRIDAY,DAY,0
 ADL/LINE,FRIDAY,NIGHT,25
 ADL/LINE,SATURDAY,DAY,0
 ADL/LINE,SATURDAY,NIGHT,25
 BNE/LINE,SUNDAY,DAY,45
 BNE/LINE,SUNDAY,NIGHT,80
 BNE/LINE,MONDAY,DAY,45
 BNE/LINE,MONDAY,NIGHT,80
 BNE/LINE,TUESDAY,DAY,45
 BNE/LINE,TUESDAY,NIGHT,80
 BNE/LINE,WEDNESDAY,DAY,45
 BNE/LINE,WEDNESDAY,NIGHT,80
 BNE/LINE,THURSDAY,DAY,45
 BNE/LINE,THURSDAY,NIGHT,80
 BNE/LINE,FRIDAY,DAY,45
 BNE/LINE,FRIDAY,NIGHT,80
 BNE/LINE,SATURDAY,DAY,45
 BNE/LINE,SATURDAY,NIGHT,80
 DRW/LINE,SUNDAY,DAY,0
 DRW/LINE,SUNDAY,NIGHT,14
 DRW/LINE,MONDAY,DAY,0
 DRW/LINE,MONDAY,NIGHT,13
 DRW/LINE,TUESDAY,DAY,0
 DRW/LINE,TUESDAY,NIGHT,6
 DRW/LINE,WEDNESDAY,DAY,0
 DRW/LINE,WEDNESDAY,NIGHT,6
 DRW/LINE,THURSDAY,DAY,0
 DRW/LINE,THURSDAY,NIGHT,5
 DRW/LINE,FRIDAY,DAY,0
 DRW/LINE,FRIDAY,NIGHT,13
 DRW/LINE,SATURDAY,DAY,0
 DRW/LINE,SATURDAY,NIGHT,14
 MEL/LINE,SUNDAY,DAY,60
 MEL/LINE,SUNDAY,NIGHT,155
 MEL/LINE,MONDAY,DAY,60
 MEL/LINE,MONDAY,NIGHT,155
 MEL/LINE,TUESDAY,DAY,60
 MEL/LINE,TUESDAY,NIGHT,155
 MEL/LINE,WEDNESDAY,DAY,60
 MEL/LINE,WEDNESDAY,NIGHT,155
 MEL/LINE,THURSDAY,DAY,60
 MEL/LINE,THURSDAY,NIGHT,155
 MEL/LINE,FRIDAY,DAY,60
 MEL/LINE,FRIDAY,NIGHT,155
 MEL/LINE,SATURDAY,DAY,60
 MEL/LINE,SATURDAY,NIGHT,155
 PER/LINE,SUNDAY,DAY,30
 PER/LINE,SUNDAY,NIGHT,75
 PER/LINE,MONDAY,DAY,5
 PER/LINE,MONDAY,NIGHT,75
 PER/LINE,TUESDAY,DAY,5
 PER/LINE,TUESDAY,NIGHT,75
 PER/LINE,WEDNESDAY,DAY,5
 PER/LINE,WEDNESDAY,NIGHT,75
 PER/LINE,THURSDAY,DAY,5
 PER/LINE,THURSDAY,NIGHT,75
 PER/LINE,FRIDAY,DAY,5
 PER/LINE,FRIDAY,NIGHT,75
 PER/LINE,SATURDAY,DAY,30
 PER/LINE,SATURDAY,NIGHT,75
 SYD/LINE,SUNDAY,DAY,0
 SYD/LINE,SUNDAY,NIGHT,44
 SYD/LINE,MONDAY,DAY,4
 SYD/LINE,MONDAY,NIGHT,47
 SYD/LINE,TUESDAY,DAY,0
 SYD/LINE,TUESDAY,NIGHT,47
 SYD/LINE,WEDNESDAY,DAY,0
 SYD/LINE,WEDNESDAY,NIGHT,44
 SYD/LINE,THURSDAY,DAY,0
 SYD/LINE,THURSDAY,NIGHT,43
 SYD/LINE,FRIDAY,DAY,4
 SYD/LINE,FRIDAY,NIGHT,44
 SYD/LINE,SATURDAY,DAY,0
 SYD/LINE,SATURDAY,NIGHT,49
 SYDI/LINE,SUNDAY,DAY,53
 SYDI/LINE,SUNDAY,NIGHT,19
 SYDI/LINE,MONDAY,DAY,56
 SYDI/LINE,MONDAY,NIGHT,13
 SYDI/LINE,TUESDAY,DAY,24
 SYDI/LINE,TUESDAY,NIGHT,5
 SYDI/LINE,WEDNESDAY,DAY,65
 SYDI/LINE,WEDNESDAY,NIGHT,13
 SYDI/LINE,THURSDAY,DAY,31
 SYDI/LINE,THURSDAY,NIGHT,13
 SYDI/LINE,FRIDAY,DAY,46
 SYDI/LINE,FRIDAY,NIGHT,5
 SYDI/LINE,SATURDAY,DAY,30
 SYDI/LINE,SATURDAY,NIGHT,5
